name,tag,image,rating
oppenheimer,#drama,oppenheimer.com.png,3
battleship,#action,battleship.com.png,2
inception,#suspense,inception.com.png,2
cars,#thriller,cars.com.png,1
cars 2,#thriller,cars2.com.png,2
cars 3,#thriller,cars.com.png,1
angel has fallen down,#suspense,ahfd.com.png,2
incredibles 2,#action,incredibles2.com.png,2
john wick 4,#action,jw4.com.png,3
batman : the dark knight,#action,batmantdk.com.png,3
12th fail,#drama,12fail.com.png,1
final destination 4,#horror,fd4.com.png,3
barbie,#adventure,barbie.com.png,2
interstellar,#scifi,interstellar.com.png,2
momento,#suspense,momento.com.png,2
